Commit_num	Commit_id	Date		Files	Insert	Delete	Sum
17 		7cec1fa		2023-07-22 	3	34	6	40
16 		f1dd15d		2023-07-22 	6	44	25	69
15 		cf4dffb		2023-07-21 	3	60	42	102
14 		30d0abe		2023-07-21 	6	150	0	150
13 		dab6fb8		2023-07-17 	6	98	0	98
12 		0782b11		2023-07-13 	1	15	1	16
11 		b05579c		2023-07-10 	6	107	0	107
10 		5c32755		2023-07-10 	6	104	0	104
9 		1ee3741		2023-07-09 	6	104	0	104
8 		317f870		2023-07-06 	3	18	8	26
7 		1f67be0		2023-07-05 	3	19	12	31
6 		b739055		2023-07-04 	4	98	4	102
5 		2ce1c8a		2023-07-02 	7	41	0	41
4 		03a45e0		2018-10-18 	1	0	0	0
3 		b30ee59		2018-10-18 	2	89	0	89
2 		3133860		2018-10-17 	1	86	0	86
1 		2dd781e		2018-08-09 	1	104	0	104
