Commit_num	Commit_id	Date		Files	Insert	Delete	Sum
23 		4ba5bc0		2023-07-30 	6	31	27	58
22 		2cee13f		2023-07-29 	17	506	0	506
21 		e763b43		2023-07-29 	13	195	139	334
20 		cc71061		2023-07-26 	10	257	0	257
19 		3b08115		2023-07-25 	4	20	3	23
18 		7cec1fa		2023-07-22 	3	34	6	40
17 		f1dd15d		2023-07-22 	6	44	25	69
16 		cf4dffb		2023-07-21 	3	60	42	102
15 		30d0abe		2023-07-21 	6	150	0	150
14 		243d946		2023-07-18 	7	193	0	193
13 		dab6fb8		2023-07-17 	6	98	0	98
12 		0782b11		2023-07-13 	1	15	1	16
11 		b05579c		2023-07-10 	6	107	0	107
10 		5c32755		2023-07-10 	6	104	0	104
9 		1ee3741		2023-07-09 	6	104	0	104
8 		317f870		2023-07-06 	3	18	8	26
7 		1f67be0		2023-07-05 	3	19	12	31
6 		b739055		2023-07-04 	4	98	4	102
5 		2ce1c8a		2023-07-02 	7	41	0	41
4 		03a45e0		2018-10-18 	1	0	0	0
3 		b30ee59		2018-10-18 	2	89	0	89
2 		3133860		2018-10-17 	1	86	0	86
1 		2dd781e		2018-08-09 	1	104	0	104
