Commit_num	Commit_id	Date	Files	Insert	Delete	Sum
347	6591720	2023-11-20	10	365	301	666
346	1892275	2023-11-18	7	285	279	564
345	72779f9	2023-11-17	8	281	274	555
344	1200b96	2023-11-15	7	271	265	536
343	583ba4a	2023-11-14	8	284	278	562
342	9d56997	2023-11-13	8	285	270	555
341	0bb9e57	2023-11-03	8	283	276	559
340	3014335	2023-11-01	8	264	258	522
339	fade502	2023-10-31	8	292	286	578
338	ac5e23d	2023-10-30	8	281	275	556
337	3fe6897	2023-10-29	8	278	272	550
336	fb1d869	2023-10-28	8	274	268	542
335	3c9a667	2023-10-27	8	278	271	549
334	68001fc	2023-10-25	8	289	283	572
333	9e7b6b3	2023-10-24	8	284	278	562
332	be21216	2023-10-23	8	267	261	528
331	599fa65	2023-10-22	8	274	268	542
330	4a64f39	2023-10-21	8	271	265	536
329	f9c7469	2023-10-20	8	269	262	531
328	7496733	2023-10-18	10	288	282	570
327	2f4cef9	2023-10-17	8	278	245	523
326	374ca67	2023-09-19	8	285	279	564
325	c4985cc	2023-09-19	8	278	272	550
324	f078569	2023-09-17	8	267	261	528
323	0fe8cb2	2023-09-16	10	290	274	564
322	e183519	2023-09-13	9	268	262	530
321	25c8f57	2023-09-12	10	272	266	538
320	a3b2087	2023-09-12	10	356	256	612
319	181eebb	2023-09-10	8	283	267	550
318	1dc32a1	2023-09-10	10	445	256	701
317	5caac31	2023-09-08	8	257	251	508
316	aa4b646	2023-09-07	8	256	250	506
315	6a1b43d	2023-09-06	8	249	242	491
314	1fe99ff	2023-09-04	8	266	260	526
313	774c5de	2023-09-04	10	344	255	599
312	7698edd	2023-09-03	10	279	258	537
311	a679894	2023-09-02	6	260	254	514
310	64fa030	2023-09-01	7	269	262	531
309	dab4ca2	2023-08-30	10	422	245	667
308	f971421	2023-08-29	4	245	242	487
307	0a34b9b	2023-08-28	5	260	257	517
306	b37d043	2023-08-28	10	357	339	696
305	ebe03e0	2023-08-28	8	260	254	514
304	cdc93a3	2023-08-27	8	239	233	472
303	2a71473	2023-08-26	5	247	243	490
302	1ab919f	2023-08-25	6	269	245	514
301	f678cec	2023-08-23	6	312	309	621
300	4256f0f	2023-08-23	6	241	238	479
299	212061b	2023-08-22	7	2292	685	2977
298	8fb41f1	2023-08-22	6	685	859	1544
297	acd0eb1	2023-08-21	15	1454	1268	2722
296	1166576	2023-08-20	7	8	2	10
295	fad437d	2023-08-20	4	23	1	24
294	a711ca5	2023-08-16	9	9	3	12
293	c9dd32a	2023-08-15	11	11	5	16
292	30f8cf6	2023-08-14	9	11	5	16
291	2ddd971	2023-08-14	11	52	31	83
290	f5203d7	2023-08-14	9	9	3	12
289	2b65384	2023-08-13	9	8	2	10
288	1b6f6d3	2023-08-12	9	8	2	10
287	f77c4fd	2023-08-11	9	8	2	10
286	e74390b	2023-08-10	9	9	3	12
285	1fcb96e	2023-08-09	11	83	10	93
284	03e055b	2023-08-08	9	8	2	10
283	ff31b8d	2023-08-07	9	9	3	12
282	0eb6252	2023-08-06	11	72	5	77
281	f445de8	2023-08-05	11	74	7	81
280	68dcd81	2023-08-04	10	12	6	18
279	37a0ad7	2023-08-04	9	8	2	10
278	16ec9e3	2023-08-04	9	8	2	10
277	32d8ac0	2023-08-03	9	8	2	10
276	2bca1c2	2023-08-02	9	8	2	10
275	34d9649	2023-08-01	9	8	2	10
274	a6f04bc	2023-07-31	9	9	3	12
273	78b45ab	2023-07-31	9	9	3	12
272	12e862e	2023-07-30	11	72	30	102
271	bb96a06	2023-07-29	8	8	5	13
270	8520c75	2023-07-29	8	7	4	11
269	7025a82	2023-07-29	9	8	2	10
268	081802e	2023-07-28	9	12	6	18
267	5ce1dea	2023-07-28	11	16	7	23
266	a1cff47	2023-07-28	11	11	5	16
265	667b5fa	2023-07-28	11	17	5	22
264	4fa73ed	2023-07-27	11	10	4	14
263	a3e479f	2023-07-26	11	39	4	43
262	ea2c738	2023-07-25	9	8	2	10
261	6b471cd	2023-07-22	9	9	3	12
260	a3edefb	2023-07-22	9	8	2	10
259	0789842	2023-07-21	9	9	3	12
258	6abf1d2	2023-07-21	11	37	4	41
257	a240d5a	2023-07-20	9	9	3	12
256	13e91ba	2023-07-20	11	38	9	47
255	37d30d1	2023-07-19	9	10	4	14
254	ff04150	2023-07-19	9	10	4	14
253	1f68783	2023-07-18	11	44	11	55
252	34c2908	2023-07-17	10	14	9	23
251	94cc260	2023-07-17	11	36	5	41
250	69dbcb4	2023-07-17	9	9	3	12
249	bbd8329	2023-07-17	9	9	3	12
248	2e49b20	2023-07-16	11	163	4	167
247	a85c4b4	2023-07-15	9	8	2	10
246	545199e	2023-07-14	9	8	2	10
245	c66786c	2023-07-14	9	11	5	16
244	f6b50d5	2023-07-13	9	11	5	16
243	e75cc0b	2023-07-13	9	9	3	12
242	03b2a5c	2023-07-13	9	8	2	10
241	8cae0e0	2023-07-13	9	8	2	10
240	85f16a0	2023-07-12	9	8	2	10
239	78253cd	2023-07-11	9	10	4	14
238	1aee3b0	2023-07-10	11	32	5	37
237	7f5bf83	2023-07-10	11	30	5	35
236	b6aa178	2023-07-09	11	27	4	31
235	6ece250	2023-07-08	9	8	2	10
234	70ae708	2023-07-08	9	8	2	10
233	3558a0e	2023-07-07	9	8	2	10
232	4e287a7	2023-07-06	9	8	2	10
231	45c88c8	2023-07-05	9	8	2	10
230	91b5361	2023-07-04	8	11	5	16
229	1c789b1	2023-07-02	12	584	529	1113
228	502ade7	2023-07-02	9	8	2	10
227	ab4fa5a	2023-06-29	9	8	2	10
226	12fcc84	2023-06-28	9	8	2	10
225	fc39a98	2023-06-27	9	9	3	12
224	0cad807	2023-06-26	8	9	3	12
223	2cead79	2023-06-26	9	8	2	10
222	5b2cb62	2023-06-25	9	8	2	10
221	802056b	2023-06-24	9	30	15	45
220	9e63fab	2023-06-23	9	8	2	10
219	a3a357e	2023-06-22	9	8	2	10
218	6812676	2023-06-22	9	8	2	10
217	4eef7ca	2023-06-20	9	9	3	12
216	97b5988	2023-06-20	9	8	2	10
215	96e12c9	2023-06-19	9	8	2	10
214	97a427e	2023-06-18	9	9	3	12
213	d49f10e	2023-06-18	9	8	2	10
212	9f658fe	2023-06-17	9	8	2	10
211	2b19aae	2023-06-15	9	11	5	16
210	abea30d	2023-06-14	9	10	4	14
209	45e6e8f	2023-06-14	9	9	3	12
208	2fe8db5	2023-06-14	9	9	3	12
207	4284e3c	2023-06-14	9	9	3	12
206	0f43804	2023-06-13	8	8	2	10
205	004e5da	2023-06-12	9	8	2	10
204	b890e71	2023-06-11	9	8	2	10
203	e38ee51	2023-06-10	9	8	2	10
202	074245b	2023-06-09	9	8	2	10
201	fb63f20	2023-06-08	9	9	3	12
200	758bf6f	2023-06-08	9	8	2	10
199	f4a28ef	2023-06-07	9	8	2	10
198	44f1696	2023-06-05	9	8	2	10
197	926fd57	2023-06-05	9	8	2	10
196	1fa1728	2023-06-04	9	9	3	12
195	d3e8390	2023-06-04	9	8	2	10
194	87827e1	2023-06-03	9	9	3	12
193	9ce2b6b	2023-06-02	8	7	4	11
192	b497e20	2023-06-02	9	8	2	10
191	bd50103	2023-06-01	9	9	3	12
190	f2bbbc0	2023-05-30	9	29	29	58
189	64ddb15	2023-05-30	9	8	2	10
188	01130ac	2023-05-29	9	8	2	10
187	51c6acf	2023-05-28	9	8	2	10
186	092a5f7	2023-05-27	9	8	2	10
185	de2327f	2023-05-26	9	8	2	10
184	892bdb7	2023-05-25	9	8	2	10
183	2f88313	2023-05-24	9	8	2	10
182	3bfe2ea	2023-05-23	9	8	2	10
181	b81478c	2023-05-22	9	8	2	10
180	5faaff0	2023-05-21	9	9	3	12
179	9c0f441	2023-05-21	9	12	6	18
178	d0e2205	2023-05-20	10	28	16	44
177	e658230	2023-05-20	11	103	65	168
176	5a15ca8	2023-05-20	10	9	4	13
175	13351e8	2023-05-19	14	20	10	30
174	89ea791	2023-05-18	9	10	4	14
173	5547741	2023-05-18	11	75	3	78
172	861760f	2023-05-18	10	458	382	840
171	166c2af	2023-05-16	9	9	3	12
170	60e6f33	2023-05-16	9	8	2	10
169	6e84561	2023-05-14	9	8	2	10
168	84064c5	2023-05-14	8	15	33	48
167	9dffffd	2023-05-14	12	8	170	178
166	9f0c36a	2023-05-14	18	212	16	228
165	f9e7ccb	2023-05-13	9	9	3	12
164	972f81e	2023-05-12	10	134	3	137
163	6d6511d	2023-05-09	9	8	2	10
162	96f299b	2023-05-08	9	8	2	10
161	54914de	2023-05-07	9	8	2	10
160	e786169	2023-05-06	9	8	2	10
159	acf0475	2023-05-06	9	8	2	10
158	e680fcb	2023-05-05	9	8	2	10
157	98771a0	2023-05-04	9	8	2	10
156	c4fd61b	2023-05-03	9	8	2	10
155	9d0cfa3	2023-05-02	9	9	3	12
154	cd0fb88	2023-05-02	9	15	9	24
153	9b5040c	2023-05-01	11	47	8	55
152	b2e2b01	2023-05-01	9	27	12	39
151	5471fb0	2023-05-01	9	10	4	14
150	7e3e881	2023-05-01	9	8	2	10
149	1678103	2023-05-01	9	8	2	10
148	88e4dc9	2023-04-30	9	12	6	18
147	5b079b1	2023-04-30	8	8	5	13
146	573f91e	2023-04-30	8	8	5	13
145	6a9e12c	2023-04-30	8	7	4	11
144	eeca455	2023-04-30	9	10	4	14
