Commit_num	Commit_id	Date		Files	Insert	Delete	Sum
37 		b4eaa89		2023-06-01 	5	29	10	39
36 		b21ceab		2023-01-27 	1	2	0	2
35 		4af6736		2023-01-17 	10	30	3	33
34 		024a2eb		2022-12-31 	2	97	20	117
33 		f34c88b		2022-12-28 	8	123	35	158
32 		52d2089		2022-12-22 	6	200	18	218
31 		6f25dfb		2022-12-16 	9	388	51015	51403
30 		3f2c81c		2022-12-16 	4	41	1	42
29 		15f3319		2022-12-16 	7	51043	44	51087
28 		bbc6a99		2022-12-02 	9	159	32	191
27 		e2d88a7		2022-11-07 	12	152	80	232
26 		c74dcdd		2022-11-05 	5	193	78	271
25 		7070c46		2022-10-30 	6	100	64	164
24 		c875127		2022-10-27 	4	284	101	385
23 		9997fa2		2022-10-20 	7	83	26	109
22 		60bb844		2022-10-19 	3	92	25	117
21 		bd0ea17		2022-10-18 	11	211	20	231
20 		ed7d76e		2022-10-08 	9	437	286	723
19 		5f2e4b0		2022-10-04 	3	59	12	71
18 		778ec4d		2022-10-02 	3	38	5	43
17 		83f098e		2022-10-02 	10	174	84	258
16 		1a185c7		2022-10-01 	3	184	35	219
15 		5902663		2022-09-29 	3	84	17	101
14 		c79a91c		2022-09-22 	3	130	106	236
13 		0b0131d		2022-09-19 	3	74	34	108
12 		e6d4b41		2022-09-16 	5	83	16	99
11 		d724e11		2022-09-14 	5	318	81	399
10 		6ee3ef1		2022-09-14 	1	1	1	2
9 		866d552		2022-09-14 	1	11	0	11
8 		1cf50ee		2020-02-03 	8	82	36	118
7 		68f85b0		2020-02-03 	5	81	45	126
6 		afa89fc		2020-02-03 	14	344	136	480
5 		9e66ee2		2020-01-17 	4	136	35	171
4 		9a1cf33		2020-01-12 	5	188	17	205
3 		756c037		2020-01-09 	77	2060	19	2079
2 		c3af8b2		2019-12-21 	3	56	0	56
1 		91e03f2		2019-12-21 	1	2	0	2
