Commit_num	Commit_id	Date		Files	Insert	Delete	Sum
34 		3b994d8		2023-06-08 	4	15	10	25
33 		1b863e6		2023-06-07 	4	35	11	46
32 		c88972e		2023-06-04 	4	30	1	31
31 		7a1f88f		2023-06-04 	9	210	1	211
30 		9a30add		2023-06-03 	5	22	11	33
29 		4bcf3f6		2023-06-02 	6	100	0	100
28 		536c5df		2023-05-29 	3	30	11	41
27 		a6ea010		2023-05-28 	4	43	12	55
26 		1f80a71		2023-05-27 	4	47	0	47
25 		b9933b1		2023-05-26 	3	12	10	22
24 		72a2624		2023-05-25 	3	27	9	36
23 		d4c3d70		2023-05-24 	1	17	5	22
22 		78e9aac		2023-05-23 	8	48	29	77
21 		66133d6		2023-05-22 	7	40	34	74
20 		3bb72e8		2023-05-21 	4	12	12	24
19 		a29c098		2023-05-21 	7	21	23	44
18 		8f775a4		2023-05-19 	10	139	0	139
17 		9576c37		2023-05-16 	2	23	7	30
16 		51f0ec9		2023-05-16 	6	25	11	36
15 		108c150		2023-05-14 	6	65	0	65
14 		eaafadb		2023-05-13 	5	33	7	40
13 		97042f7		2023-05-08 	11	195	1	196
12 		2bb2cd2		2023-05-07 	1	18	13	31
11 		c10560f		2023-05-06 	2	20	15	35
10 		2581541		2023-05-06 	1	6	0	6
9 		9677671		2023-05-05 	2	9	10	19
8 		30e1ad3		2023-05-04 	5	76	26	102
7 		b83f4f1		2023-05-03 	4	94	23	117
6 		6361b9d		2023-05-02 	3	31	2	33
5 		2c9b44f		2023-05-02 	6	32	4	36
4 		81ddace		2023-05-01 	1	2	3	5
3 		dc3e1f6		2023-05-01 	4	18	0	18
2 		aa6e1db		2023-04-30 	2	10	0	10
1 		2c5313e		2023-04-30 	1	4	0	4
