Commit_num	Commit_id	Date		Files	Insert	Delete	Sum
23 		a44f2be		2023-05-18 	2	0	0	0
22 		3284783		2018-11-25 	1	2	15	17
21 		5375d1c		2018-11-10 	49	66	54	120
20 		8153b57		2018-11-09 	5	18	140	158
19 		3374dfc		2018-11-09 	25	258	141	399
18 		82238b1		2018-11-02 	23	287	15	302
17 		1e3bd2c		2018-10-30 	10	201	137	338
16 		0905f2a		2018-10-28 	11	62	26	88
15 		d8277fd		2018-10-26 	3	31	13	44
14 		1cd66c9		2018-10-25 	38	310	352	662
13 		400f938		2018-10-22 	24	520	12	532
12 		ee8c822		2018-09-29 	7	89	2	91
11 		7431817		2018-09-28 	1	0	0	0
10 		986243a		2018-09-28 	8	181	1	182
9 		f153228		2018-09-28 	4	56	1	57
8 		9d31baa		2018-09-26 	4	27	5	32
7 		ef98e2f		2018-09-24 	1	1	11	12
6 		cc787cc		2018-09-24 	3	52	2	54
5 		11cbb8e		2018-09-24 	3	61	0	61
4 		60b2247		2018-09-21 	9	113	21	134
3 		79e99b6		2018-09-18 	1	2	2	4
2 		7cd87aa		2018-09-17 	22	515	0	515
1 		0d6efd2		2018-09-17 	1	1	0	1
