Commit_num	Commit_id	Date		Files	Insert	Delete	Sum
68 		2f99517		2023-04-27 	5	25	3	28
67 		4232f2d		2023-02-15 	2	36	13	49
66 		8fbf611		2023-02-13 	1	16	5	21
65 		d6440e1		2023-02-03 	1	29	38	67
64 		cd4cf16		2023-02-02 	1	5	3	8
63 		9367bcf		2023-02-02 	1	37	41	78
62 		c68eb0b		2023-01-31 	1	5	11	16
61 		3744763		2023-01-31 	1	44	65	109
60 		b5f1a5f		2023-01-29 	0	0	0	0
59 		cb063a9		2023-01-29 	6	203	183	386
58 		211c7e4		2023-01-27 	2	59	0	59
57 		570c1a8		2023-01-26 	5	21	2	23
56 		4047bd9		2023-01-25 	5	21	2	23
55 		dbc21a3		2023-01-25 	2	205	58	263
54 		00234c3		2023-01-20 	1	10	0	10
53 		5af91c4		2023-01-20 	2	96	14	110
52 		666e536		2023-01-19 	1	15	10	25
51 		744a386		2023-01-19 	1	39	5	44
50 		e62d1c0		2022-07-13 	1	8	7	15
49 		6836996		2022-07-13 	1	8	7	15
48 		0ecd219		2022-07-13 	4	50	3	53
47 		7e05f51		2022-07-13 	2	22	24	46
46 		204df74		2022-07-13 	4	41	5	46
45 		1966494		2022-07-11 	2	7	6	13
44 		4013aca		2022-07-11 	1	2	2	4
43 		eb41d24		2022-07-11 	1	2	0	2
42 		3ccff5d		2022-07-10 	1	9	0	9
41 		9483b2f		2022-07-08 	1	3	0	3
40 		576fcd9		2022-07-08 	1	9	0	9
39 		13aefbc		2022-07-08 	2	1	15	16
38 		cac75ab		2022-07-08 	1	9	0	9
37 		1645652		2022-07-08 	1	1	1	2
36 		e668cff		2020-01-30 	1	10	9	19
35 		29353b7		2020-01-30 	1	15	6	21
34 		b798fde		2020-01-30 	1	5	11	16
33 		3a5a130		2020-01-30 	1	10	0	10
32 		4945432		2020-01-30 	1	19	18	37
31 		2ed5c52		2020-01-30 	1	11	10	21
30 		5bffd80		2020-01-30 	1	5	2	7
29 		35847a2		2020-01-30 	2	27	1	28
28 		7b2d88d		2020-01-30 	12	53	74	127
27 		76d2152		2020-01-28 	1	1	3	4
26 		76c11e1		2020-01-28 	10	882	35	917
25 		3993ce2		2020-01-28 	7	133	37	170
24 		d456102		2020-01-27 	1	1	1	2
23 		a9b8ffb		2020-01-27 	6	597	4	601
22 		ccd1c94		2020-01-26 	1	3	0	3
21 		923d40d		2020-01-26 	4	111	29	140
20 		70f9c0f		2020-01-25 	4	81	5	86
19 		67d2e97		2020-01-25 	1	1	70	71
18 		4f24438		2020-01-25 	3	221	25	246
17 		617f9fc		2020-01-24 	10	534	297	831
16 		5034783		2020-01-23 	2	159	42	201
15 		c24cb39		2020-01-23 	6	127	12	139
14 		ebcd69b		2020-01-22 	8	140	25	165
13 		86f0c71		2020-01-21 	69	0	0	0
12 		12a4f19		2020-01-21 	6	25	10	35
11 		8812f5d		2020-01-21 	141	2	2023	2025
10 		2f0992f		2020-01-21 	75	123	34	157
9 		0e4e6b5		2020-01-21 	1	2	2	4
8 		87d6659		2020-01-21 	1	4	3	7
7 		feb75e0		2020-01-21 	1	3	5	8
6 		86bed18		2020-01-21 	1	2	3	5
5 		e585940		2020-01-21 	1	0	2	2
4 		992644b		2020-01-21 	1	3	0	3
3 		5c92364		2020-01-21 	1	9	2	11
2 		8512203		2020-01-21 	1	1	1	2
1 		dbae2d5		2020-01-21 	221	4210	0	4210
